10:09:55.422 [restartedMain] INFO  c.z.epidemicbigdata.EpidemicbigdataApplication - Starting EpidemicbigdataApplication using Java 11 on DESKTOP-2CU5T6G with PID 2548 (D:\桌面\zsz\Junior_19011431\大数据技术导论\epidemicbigdata\target\classes started by 91067 in D:\桌面\zsz\Junior_19011431\大数据技术导论\epidemicbigdata)
10:09:55.424 [restartedMain] INFO  c.z.epidemicbigdata.EpidemicbigdataApplication - No active profile set, falling back to 1 default profile: "default"
10:09:56.557 [restartedMain] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.zszgroup.epidemicbigdata.pojo.Area ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
10:09:57.171 [restartedMain] INFO  c.z.epidemicbigdata.EpidemicbigdataApplication - Started EpidemicbigdataApplication in 2.061 seconds (JVM running for 2.841)
10:11:46.870 [restartedMain] INFO  c.z.epidemicbigdata.EpidemicbigdataApplication - Starting EpidemicbigdataApplication using Java 11 on DESKTOP-2CU5T6G with PID 1448 (D:\桌面\zsz\Junior_19011431\大数据技术导论\epidemicbigdata\target\classes started by 91067 in D:\桌面\zsz\Junior_19011431\大数据技术导论\epidemicbigdata)
10:11:46.873 [restartedMain] INFO  c.z.epidemicbigdata.EpidemicbigdataApplication - No active profile set, falling back to 1 default profile: "default"
10:11:47.937 [restartedMain] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.zszgroup.epidemicbigdata.pojo.Area ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
10:11:48.827 [restartedMain] INFO  c.z.epidemicbigdata.EpidemicbigdataApplication - Started EpidemicbigdataApplication in 2.268 seconds (JVM running for 3.095)
10:11:58.645 [restartedMain] INFO  c.z.epidemicbigdata.EpidemicbigdataApplication - Starting EpidemicbigdataApplication using Java 11 on DESKTOP-2CU5T6G with PID 13580 (D:\桌面\zsz\Junior_19011431\大数据技术导论\epidemicbigdata\target\classes started by 91067 in D:\桌面\zsz\Junior_19011431\大数据技术导论\epidemicbigdata)
10:11:58.646 [restartedMain] INFO  c.z.epidemicbigdata.EpidemicbigdataApplication - No active profile set, falling back to 1 default profile: "default"
10:11:59.703 [restartedMain] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.zszgroup.epidemicbigdata.pojo.Area ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
10:12:00.274 [restartedMain] INFO  c.z.epidemicbigdata.EpidemicbigdataApplication - Started EpidemicbigdataApplication in 1.951 seconds (JVM running for 2.649)
10:17:59.022 [restartedMain] INFO  c.z.epidemicbigdata.EpidemicbigdataApplication - Starting EpidemicbigdataApplication using Java 11 on DESKTOP-2CU5T6G with PID 11424 (D:\桌面\zsz\Junior_19011431\大数据技术导论\epidemicbigdata\target\classes started by 91067 in D:\桌面\zsz\Junior_19011431\大数据技术导论\epidemicbigdata)
10:17:59.023 [restartedMain] INFO  c.z.epidemicbigdata.EpidemicbigdataApplication - No active profile set, falling back to 1 default profile: "default"
10:18:00.029 [restartedMain] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.zszgroup.epidemicbigdata.pojo.Area ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
10:18:00.605 [restartedMain] INFO  c.z.epidemicbigdata.EpidemicbigdataApplication - Started EpidemicbigdataApplication in 1.879 seconds (JVM running for 2.633)
10:24:08.206 [restartedMain] INFO  c.z.epidemicbigdata.EpidemicbigdataApplication - Starting EpidemicbigdataApplication using Java 11 on DESKTOP-2CU5T6G with PID 7260 (D:\桌面\zsz\Junior_19011431\大数据技术导论\epidemicbigdata\target\classes started by 91067 in D:\桌面\zsz\Junior_19011431\大数据技术导论\epidemicbigdata)
10:24:08.208 [restartedMain] INFO  c.z.epidemicbigdata.EpidemicbigdataApplication - No active profile set, falling back to 1 default profile: "default"
10:24:09.148 [restartedMain] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.zszgroup.epidemicbigdata.pojo.Area ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
10:24:09.660 [restartedMain] INFO  c.z.epidemicbigdata.EpidemicbigdataApplication - Started EpidemicbigdataApplication in 1.735 seconds (JVM running for 2.532)
10:25:36.865 [restartedMain] INFO  c.z.epidemicbigdata.EpidemicbigdataApplication - Starting EpidemicbigdataApplication using Java 11 on DESKTOP-2CU5T6G with PID 5916 (D:\桌面\zsz\Junior_19011431\大数据技术导论\epidemicbigdata\target\classes started by 91067 in D:\桌面\zsz\Junior_19011431\大数据技术导论\epidemicbigdata)
10:25:36.867 [restartedMain] INFO  c.z.epidemicbigdata.EpidemicbigdataApplication - No active profile set, falling back to 1 default profile: "default"
10:25:37.947 [restartedMain] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.zszgroup.epidemicbigdata.pojo.Area ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
10:25:38.559 [restartedMain] INFO  c.z.epidemicbigdata.EpidemicbigdataApplication - Started EpidemicbigdataApplication in 1.991 seconds (JVM running for 2.712)
10:52:15.341 [restartedMain] INFO  c.z.epidemicbigdata.EpidemicbigdataApplication - Starting EpidemicbigdataApplication using Java 11 on DESKTOP-2CU5T6G with PID 10340 (D:\桌面\zsz\Junior_19011431\大数据技术导论\epidemicbigdata\target\classes started by 91067 in D:\桌面\zsz\Junior_19011431\大数据技术导论\epidemicbigdata)
10:52:15.344 [restartedMain] INFO  c.z.epidemicbigdata.EpidemicbigdataApplication - No active profile set, falling back to 1 default profile: "default"
10:52:16.517 [restartedMain] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.zszgroup.epidemicbigdata.pojo.Alldata ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
10:52:16.556 [restartedMain] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.zszgroup.epidemicbigdata.pojo.Area ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
10:52:17.172 [restartedMain] INFO  c.z.epidemicbigdata.EpidemicbigdataApplication - Started EpidemicbigdataApplication in 2.191 seconds (JVM running for 3.039)
10:52:18.424 [http-nio-80-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
10:52:18.704 [http-nio-80-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
10:55:39.851 [Thread-5] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
10:55:39.856 [Thread-5] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
11:02:23.710 [restartedMain] INFO  c.z.epidemicbigdata.EpidemicbigdataApplication - Starting EpidemicbigdataApplication using Java 11 on DESKTOP-2CU5T6G with PID 14176 (D:\桌面\zsz\Junior_19011431\大数据技术导论\epidemicbigdata\target\classes started by 91067 in D:\桌面\zsz\Junior_19011431\大数据技术导论\epidemicbigdata)
11:02:23.712 [restartedMain] INFO  c.z.epidemicbigdata.EpidemicbigdataApplication - No active profile set, falling back to 1 default profile: "default"
11:02:24.854 [restartedMain] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.zszgroup.epidemicbigdata.pojo.Alldata ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
11:02:24.898 [restartedMain] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.zszgroup.epidemicbigdata.pojo.Area ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
11:02:25.549 [restartedMain] INFO  c.z.epidemicbigdata.EpidemicbigdataApplication - Started EpidemicbigdataApplication in 2.169 seconds (JVM running for 2.936)
11:02:26.410 [http-nio-80-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
11:02:26.606 [http-nio-80-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
11:02:43.234 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
11:02:43.241 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
11:02:47.568 [restartedMain] INFO  c.z.epidemicbigdata.EpidemicbigdataApplication - Starting EpidemicbigdataApplication using Java 11 on DESKTOP-2CU5T6G with PID 2832 (D:\桌面\zsz\Junior_19011431\大数据技术导论\epidemicbigdata\target\classes started by 91067 in D:\桌面\zsz\Junior_19011431\大数据技术导论\epidemicbigdata)
11:02:47.570 [restartedMain] INFO  c.z.epidemicbigdata.EpidemicbigdataApplication - No active profile set, falling back to 1 default profile: "default"
11:02:48.691 [restartedMain] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.zszgroup.epidemicbigdata.pojo.Alldata ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
11:02:48.738 [restartedMain] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.zszgroup.epidemicbigdata.pojo.Area ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
11:02:49.404 [restartedMain] INFO  c.z.epidemicbigdata.EpidemicbigdataApplication - Started EpidemicbigdataApplication in 2.172 seconds (JVM running for 2.927)
11:02:50.696 [http-nio-80-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
11:02:50.902 [http-nio-80-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
11:03:37.419 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
11:03:37.425 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
11:03:41.000 [restartedMain] INFO  c.z.epidemicbigdata.EpidemicbigdataApplication - Starting EpidemicbigdataApplication using Java 11 on DESKTOP-2CU5T6G with PID 12352 (D:\桌面\zsz\Junior_19011431\大数据技术导论\epidemicbigdata\target\classes started by 91067 in D:\桌面\zsz\Junior_19011431\大数据技术导论\epidemicbigdata)
11:03:41.002 [restartedMain] INFO  c.z.epidemicbigdata.EpidemicbigdataApplication - No active profile set, falling back to 1 default profile: "default"
11:03:42.084 [restartedMain] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.zszgroup.epidemicbigdata.pojo.Alldata ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
11:03:42.120 [restartedMain] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.zszgroup.epidemicbigdata.pojo.Area ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
